Record_ID,Supplier_ID,Supplier_Name,Supplier_Country,Supplier_Region,Warehouse_Location,Product_Category,Product_Type,SKU,Product_Value_USD,Lead_Time_Days,Order_Quantity,Stock_Level,Reorder_Point,Safety_Stock,Inventory_Turnover,On_Time_Delivery_Rate,Quality_Rating,Defect_Rate_Percent,Supplier_Responsiveness_Score,Supplier_Capacity_Utilization,Financial_Stability_Score,Transportation_Mode,Carrier_Name,Shipping_Time_Days,Customs_Clearance_Time_Days,Transportation_Cost_USD,Geopolitical_Risk_Score,Weather_Risk_Score,Demand_Volatility,Supply_Volatility,Port_Congestion_Level,Supplier_Dependency_Score,Alternative_Suppliers_Available,Single_Source_Risk,Historical_Disruptions_Count,Average_Delay_Days,Contract_Compliance_Rate,Communication_Response_Time_Hours,Total_Annual_Spend_USD,Payment_Terms_Days,Price_Volatility_Percent,Production_Dependency_Level,Customer_Impact_Score,Revenue_At_Risk_USD,Disruption_Risk,Date,Disruption_Probability
SC00011,SUP044,Asia Sourcing,Vietnam,Asia-Pacific,Seattle,Automotive Parts,Semi-Finished,SKU3247,15189.32,16,8746,4049,1908,1313,5.54,93.91,89.42,7.23,98.1,93.8,70.2,Sea Freight,DHL,33,8,3175.36,0.0,3.4,5.1,4.1,3.7,6.0,4,Yes,2,9.8,72.81,16.2,595652.9,60,13.77,Critical,2.8,498441.84,0,2025-02-02,23.14
SC00012,SUP048,Acme Corp,India,Europe,Atlanta,Pharmaceuticals,Component,SKU7862,485105.38,30,3069,3719,939,1259,11.49,81.21,77.74,0.2,73.7,63.6,43.6,Sea Freight,FedEx,15,0,23132.91,2.5,4.7,0.2,3.7,0.8,3.9,1,No,11,2.3,93.43,14.3,3957429.19,30,2.77,High,1.4,494314.25,0,2025-05-14,27.11
SC00013,SUP035,Express Logistics,Thailand,Asia-Pacific,Denver,Automotive Parts,Assembly,SKU2718,417059.11,50,3128,302,1573,654,11.62,74.75,84.82,1.68,99.4,50.2,95.0,Multimodal,Maersk,7,6,27706.3,9.3,3.3,3.1,9.3,3.9,5.6,0,No,13,1.7,99.75,33.3,882107.62,45,7.22,Low,6.8,588443.83,1,2024-04-22,58.65
SC00014,SUP006,Express Logistics,Taiwan,Europe,Houston,Chemicals,Semi-Finished,SKU9381,110107.86,38,7743,3952,382,503,8.21,87.91,65.22,3.33,93.5,58.1,76.9,Air Freight,Kuehne+Nagel,15,9,44446.97,9.3,7.5,8.2,8.3,6.0,5.8,0,No,3,6.8,85.94,54.1,1759959.61,30,5.2,Low,3.1,362820.03,1,2025-08-05,48.68
SC00015,SUP038,Prime Materials Co,Germany,Asia-Pacific,Houston,Pharmaceuticals,Finished Good,SKU2928,95003.36,53,2781,4683,312,991,11.29,93.83,67.17,2.85,92.3,67.5,51.6,Multimodal,XPO Logistics,42,3,5680.7,7.2,3.3,5.5,1.1,5.1,1.7,1,No,13,6.2,90.48,21.0,3818293.58,45,9.91,High,9.1,613107.6,1,2025-11-22,39.08
SC00016,SUP028,Pacific Traders,USA,Latin America,Chicago,Textiles,Raw Material,SKU5631,95785.23,18,3729,986,1406,964,9.61,67.21,83.74,7.29,72.7,65.8,76.4,Sea Freight,Maersk,38,6,41221.07,7.7,1.4,4.5,1.1,6.9,4.0,1,Yes,9,19.1,77.12,2.4,4773445.22,45,2.78,High,6.7,878216.31,1,2025-05-17,42.23
SC00017,SUP003,Velocity Suppliers,Japan,Europe,Dallas,Food & Beverage,Assembly,SKU2867,155599.91,30,4325,1863,680,701,7.47,92.19,84.81,0.32,60.4,89.6,80.6,Air Freight,DHL,44,0,10897.34,0.9,4.0,2.9,4.3,0.6,3.4,2,Yes,5,15.7,83.13,39.4,1888598.06,60,0.8,Critical,6.5,955470.99,0,2025-11-06,19.52
SC00018,SUP002,Velocity Suppliers,Vietnam,Europe,Chicago,Consumer Goods,Assembly,SKU2741,264754.43,49,3167,4440,1369,440,3.8,93.76,91.3,4.1,75.3,84.0,71.5,Sea Freight,Maersk,11,4,20007.14,5.1,9.8,3.0,1.0,2.8,4.0,4,No,4,13.2,95.68,68.9,4155531.09,30,16.42,Critical,5.6,583612.22,1,2025-07-21,29.92
SC00019,SUP006,Quantum Materials,Mexico,North America,Dallas,Textiles,Assembly,SKU9154,218812.78,31,6041,4909,1030,803,6.59,81.15,69.62,5.44,72.1,65.0,83.1,Road Transport,XPO Logistics,29,2,16171.82,2.3,2.3,3.8,6.2,8.2,7.6,3,Yes,0,10.4,75.02,28.8,994421.71,60,15.26,Medium,0.5,42590.95,1,2025-12-02,31.91
SC00020,SUP014,Mega Manufacturing,Taiwan,Europe,Denver,Automotive Parts,Semi-Finished,SKU4254,149158.42,13,1486,3072,1851,417,7.61,99.42,82.96,7.45,61.5,72.9,74.9,Sea Freight,FedEx,31,4,20307.69,1.8,6.1,8.4,1.4,0.8,4.8,2,No,14,3.3,77.97,30.8,4045539.86,60,17.71,Medium,9.3,969236.0,0,2025-07-06,28.88
SC00021,SUP015,Euro Distributors,Japan,Asia-Pacific,Atlanta,Automotive Parts,Raw Material,SKU4272,307867.18,30,2966,3124,1336,717,10.64,92.53,71.81,4.96,80.2,54.8,96.9,Multimodal,Maersk,25,3,7949.53,8.1,4.3,9.7,5.2,8.6,9.4,0,No,5,19.6,83.36,69.8,3304595.59,60,16.51,High,6.3,705862.06,1,2025-08-08,42.45
SC00022,SUP033,Euro Distributors,China,North America,Boston,Textiles,Raw Material,SKU5308,74049.46,51,4888,1327,962,1486,6.81,92.08,68.26,6.43,76.1,94.9,43.2,Rail,XPO Logistics,24,1,25426.72,1.4,0.7,4.4,0.1,0.9,2.9,4,No,13,7.5,91.37,50.3,1004080.36,30,2.86,Low,9.9,335963.65,1,2025-04-26,30.98
SC00023,SUP039,Euro Distributors,Japan,Europe,Phoenix,Textiles,Semi-Finished,SKU9571,149611.6,26,5590,2408,675,481,10.98,91.17,79.37,0.67,85.4,96.8,46.4,Multimodal,Kuehne+Nagel,19,3,40181.31,4.7,4.9,3.9,3.2,8.3,4.2,4,No,13,2.1,81.28,52.1,1547394.6,45,7.28,Medium,5.4,147157.7,0,2025-05-02,30.49
SC00024,SUP002,Quantum Materials,Japan,Europe,Dallas,Electronics,Component,SKU4304,186349.11,51,4224,3673,962,332,8.74,70.27,70.72,3.09,84.8,99.0,50.4,Multimodal,COSCO,2,2,22355.93,9.4,7.0,8.5,6.8,3.6,7.9,1,Yes,8,9.9,97.83,41.0,702265.9,45,3.24,Medium,7.1,143418.61,1,2025-07-29,53.97
SC00025,SUP036,Prime Materials Co,Thailand,Latin America,Phoenix,Consumer Goods,Raw Material,SKU6864,230754.64,34,8440,3291,1526,1467,3.37,72.6,72.76,2.99,64.8,93.4,81.4,Air Freight,DB Schenker,22,0,24785.37,1.9,5.1,4.3,4.8,6.1,5.5,4,No,10,17.5,72.83,70.2,1945686.7,30,21.07,Low,0.6,167744.41,0,2024-06-09,33.37
SC00026,SUP013,Asia Sourcing,Thailand,North America,Houston,Food & Beverage,Semi-Finished,SKU7713,393662.1,47,3950,4033,1170,916,11.95,81.24,76.11,7.09,99.1,58.7,78.7,Road Transport,UPS,20,9,42514.0,9.8,8.7,5.5,9.8,1.5,5.5,4,No,0,17.7,81.12,49.9,1058060.77,45,18.67,Critical,6.3,45572.52,1,2025-06-02,58.52
SC00027,SUP046,Euro Distributors,South Korea,Asia-Pacific,Houston,Textiles,Semi-Finished,SKU5839,103838.52,52,5515,703,1219,652,7.27,74.24,74.08,1.21,67.5,52.3,93.5,Air Freight,DHL,33,7,35449.88,9.9,2.9,2.3,8.7,0.7,0.5,0,Yes,7,0.2,91.27,64.5,3237789.87,30,5.04,Critical,7.6,902154.19,1,2024-02-27,54.47
SC00028,SUP042,Nexus Logistics,Germany,Europe,Denver,Textiles,Assembly,SKU3627,259546.05,21,7779,574,1341,955,5.92,79.53,68.07,1.22,77.8,79.0,84.0,Sea Freight,FedEx,8,4,24777.49,5.6,0.9,7.4,3.6,2.2,4.0,2,Yes,7,17.7,76.78,50.7,4972800.27,30,8.53,Critical,7.8,540768.23,1,2025-02-04,30.75
SC00029,SUP045,Tech Components Ltd,South Korea,Latin America,New York,Electronics,Semi-Finished,SKU1645,298245.21,30,6919,3232,360,918,8.59,96.1,68.15,2.63,79.5,95.6,70.5,Rail,COSCO,25,3,13255.93,1.7,9.4,5.3,0.5,1.3,2.7,4,No,2,5.4,89.69,53.2,109445.36,45,24.17,High,7.7,699959.41,0,2024-09-26,15.16
SC00030,SUP035,Quantum Materials,Taiwan,Europe,Phoenix,Consumer Goods,Assembly,SKU9980,27992.95,40,9428,4783,600,282,3.09,93.85,71.76,0.44,92.5,58.9,99.5,Multimodal,XPO Logistics,9,9,44303.87,3.2,3.8,8.1,8.5,3.1,10.0,1,No,14,0.8,74.93,21.6,2727553.08,90,14.85,High,2.3,828108.51,0,2025-05-21,39.28
SC00031,SUP027,Global Supplies Inc,South Korea,North America,Dallas,Consumer Goods,Finished Good,SKU9132,305734.7,5,8478,2632,397,1164,8.37,87.05,66.77,1.46,64.0,50.4,56.0,Rail,COSCO,34,4,29062.51,4.2,5.8,7.8,9.1,5.1,3.1,2,Yes,12,17.0,71.68,22.5,2889649.66,60,20.03,Critical,9.8,791541.01,1,2025-08-28,37.75
SC00032,SUP015,Express Logistics,Mexico,Asia-Pacific,Phoenix,Industrial Equipment,Semi-Finished,SKU4402,89409.44,12,9542,3828,1483,496,6.98,95.03,86.93,7.72,77.1,90.3,90.0,Rail,Maersk,23,3,11446.81,3.1,7.9,2.2,8.2,5.9,8.8,1,Yes,8,17.3,73.63,56.6,4575333.51,30,6.61,Low,10.0,882605.62,0,2025-01-21,40.62
SC00033,SUP029,Asia Sourcing,Mexico,Latin America,Atlanta,Raw Materials,Raw Material,SKU8875,37200.54,53,1433,3230,859,878,6.07,92.43,75.06,3.43,85.1,53.8,65.6,Sea Freight,DB Schenker,5,2,13821.43,2.8,3.2,7.2,1.3,7.9,6.8,4,No,10,11.9,97.9,22.1,2554726.41,30,5.25,Critical,0.8,967254.62,1,2025-09-23,29.72
SC00034,SUP038,Quantum Materials,Taiwan,Europe,New York,Raw Materials,Assembly,SKU6416,474698.34,39,4250,488,1975,1006,11.53,80.01,74.79,5.06,68.6,70.7,78.9,Sea Freight,DHL,25,4,40255.09,9.7,7.2,8.0,10.0,6.6,3.4,2,Yes,12,11.5,86.55,41.0,2741322.03,90,19.6,Critical,9.4,439070.61,1,2025-11-23,62.49
SC00035,SUP018,Quantum Materials,Taiwan,Asia-Pacific,Denver,Pharmaceuticals,Finished Good,SKU4842,482987.86,56,6866,1347,1270,1456,7.23,72.04,76.62,5.81,85.1,83.9,83.6,Rail,Maersk,8,3,2685.21,1.5,1.4,3.5,2.6,6.1,5.4,4,No,12,16.3,93.89,18.7,2384681.37,30,17.15,High,2.9,950335.47,1,2024-12-27,37.92
SC00036,SUP001,Velocity Suppliers,Vietnam,Europe,New York,Automotive Parts,Component,SKU1044,405156.69,19,2811,3681,598,226,4.19,83.0,88.2,2.94,96.9,61.8,78.0,Multimodal,FedEx,16,0,49608.56,7.3,2.9,1.7,7.2,4.1,8.4,0,No,10,15.7,79.98,59.0,1381076.31,30,17.02,Low,6.9,723289.95,1,2024-10-18,44.35
SC00037,SUP049,Mega Manufacturing,South Korea,Europe,Los Angeles,Chemicals,Component,SKU1208,155783.82,51,4953,3173,1933,100,6.59,90.77,95.47,1.18,99.9,54.2,48.4,Sea Freight,Maersk,15,2,6952.41,0.0,1.4,0.0,9.1,4.7,8.8,2,Yes,7,17.8,87.78,8.8,327344.21,45,13.82,Medium,3.4,70668.19,1,2024-11-24,32.7
SC00038,SUP011,Global Supplies Inc,Mexico,North America,Phoenix,Chemicals,Component,SKU2458,53347.7,26,6312,4589,1782,1291,11.19,80.27,91.57,1.65,61.3,88.5,66.6,Multimodal,Kuehne+Nagel,1,9,39905.39,6.0,8.1,4.5,2.4,4.1,1.6,1,No,2,11.1,84.85,59.9,2072855.53,45,14.09,Low,9.7,681783.12,0,2024-03-03,27.42
SC00039,SUP045,Prime Materials Co,India,North America,Phoenix,Consumer Goods,Assembly,SKU2809,343695.35,18,7579,1667,277,118,3.76,88.34,90.46,2.51,69.4,81.5,73.7,Sea Freight,DB Schenker,22,9,20041.38,9.2,2.2,3.5,9.1,8.4,3.4,0,Yes,9,19.4,98.37,43.8,310327.78,90,18.39,High,1.0,686716.66,1,2024-01-29,49.29
SC00040,SUP028,Quantum Materials,India,Europe,Houston,Food & Beverage,Semi-Finished,SKU9095,222875.48,30,5508,1637,323,1455,4.14,68.3,81.95,5.09,72.4,99.4,90.9,Multimodal,DHL,3,7,24864.7,2.9,7.2,5.5,3.1,2.3,3.4,3,Yes,4,19.9,92.43,14.3,2774937.72,30,6.75,Medium,5.0,905860.56,1,2025-08-27,31.44
SC00041,SUP022,Express Logistics,Thailand,Latin America,Denver,Raw Materials,Assembly,SKU3443,65408.93,32,7815,4114,274,683,2.13,91.18,89.28,3.19,76.0,67.2,66.6,Multimodal,UPS,38,6,44092.2,1.9,9.4,1.9,9.8,0.1,0.4,1,No,2,2.3,91.92,39.5,1571103.53,60,8.82,High,4.3,372932.13,0,2024-02-16,34.21
SC00042,SUP018,Prime Materials Co,Vietnam,North America,Phoenix,Industrial Equipment,Component,SKU2475,250112.57,27,9042,3553,336,555,2.14,93.44,84.35,0.05,69.7,53.1,95.1,Road Transport,COSCO,14,1,20939.1,6.5,5.3,8.6,2.8,6.5,6.0,4,No,4,17.0,71.39,21.1,2691331.89,45,21.79,Critical,3.3,584911.5,0,2024-05-11,26.27
SC00043,SUP010,Prime Materials Co,India,North America,Chicago,Food & Beverage,Semi-Finished,SKU9383,22022.32,18,1862,1000,801,1056,10.29,89.74,72.57,4.19,68.1,86.7,66.4,Sea Freight,FedEx,36,0,27105.94,7.1,5.4,2.6,9.5,2.0,8.5,1,Yes,8,10.0,86.49,24.0,714769.97,60,7.72,Medium,6.5,12187.55,1,2025-01-10,47.46
SC00044,SUP014,Tech Components Ltd,Vietnam,North America,Chicago,Pharmaceuticals,Finished Good,SKU2229,455113.6,28,7201,850,1623,1232,9.32,98.85,72.3,7.37,98.2,76.1,72.9,Road Transport,Kuehne+Nagel,18,2,2940.33,6.9,4.6,2.3,0.5,8.9,3.8,3,No,14,7.8,84.01,26.0,4666518.33,60,13.66,High,1.3,332075.24,1,2024-12-23,39.93
SC00045,SUP049,Acme Corp,China,North America,Atlanta,Chemicals,Component,SKU2659,133096.09,6,7774,1388,1036,1391,5.55,93.93,75.37,6.5,96.7,60.7,87.8,Rail,Maersk,41,4,616.2,3.2,3.3,4.8,7.1,8.6,7.4,1,No,11,12.3,97.84,5.5,4477880.16,90,17.57,Critical,7.2,62243.73,1,2025-08-20,38.17
SC00046,SUP022,Acme Corp,Mexico,Asia-Pacific,Phoenix,Textiles,Raw Material,SKU5192,332948.53,49,6222,3712,1728,544,8.98,96.61,96.88,6.6,61.9,89.1,75.0,Multimodal,DHL,18,9,12617.59,2.5,4.8,5.0,5.3,0.8,6.3,0,Yes,3,1.1,77.72,71.0,990482.72,90,25.0,High,9.8,521872.97,0,2024-01-28,35.12
SC00047,SUP007,Prime Materials Co,South Korea,Europe,Dallas,Textiles,Semi-Finished,SKU4787,159296.98,30,581,1367,699,1363,5.95,97.67,84.16,6.36,73.6,60.2,97.6,Multimodal,DHL,3,0,34188.86,9.6,6.0,2.2,4.8,1.1,3.8,1,No,5,10.1,78.1,3.2,1750049.2,30,10.88,Low,8.0,817447.65,0,2025-10-02,46.06
SC00048,SUP006,Euro Distributors,Vietnam,Asia-Pacific,New York,Raw Materials,Assembly,SKU8483,262433.67,18,253,821,1796,1424,11.53,93.05,90.69,2.59,76.2,63.0,79.6,Air Freight,XPO Logistics,10,2,6502.61,9.2,9.9,2.7,2.2,5.0,1.4,2,Yes,2,17.4,82.34,48.0,3086789.22,90,10.7,High,8.6,206442.69,1,2024-12-15,31.62
SC00049,SUP025,Velocity Suppliers,Vietnam,Asia-Pacific,Houston,Chemicals,Assembly,SKU5850,275621.59,55,7717,454,337,701,11.67,88.6,77.13,6.12,69.6,54.6,71.4,Sea Freight,UPS,39,2,6131.22,4.6,9.4,1.7,7.1,6.1,7.1,3,No,2,4.3,77.3,27.4,523646.73,45,21.06,Low,3.6,527441.05,1,2025-01-24,43.37
SC00050,SUP007,Global Supplies Inc,Germany,Europe,Denver,Chemicals,Raw Material,SKU5327,96502.96,11,1624,1624,249,202,5.93,65.2,79.27,1.15,85.2,70.0,41.4,Rail,DB Schenker,1,4,20842.55,8.5,8.6,7.2,1.9,2.7,8.5,1,No,4,8.5,73.88,46.9,1805110.71,30,20.14,High,3.2,204008.64,1,2024-04-09,31.86
SC00051,SUP023,Euro Distributors,South Korea,North America,Dallas,Food & Beverage,Assembly,SKU8606,484944.39,7,2220,2772,1994,1087,10.54,81.3,69.39,5.26,85.6,70.9,64.8,Rail,FedEx,27,2,32567.93,4.5,8.9,7.7,5.5,7.2,6.9,3,No,7,18.8,95.72,26.3,1293005.82,30,18.28,Critical,5.2,120688.47,1,2025-03-14,35.43
SC00052,SUP023,Pacific Traders,China,Latin America,New York,Automotive Parts,Raw Material,SKU1820,388690.75,51,2443,3726,1172,1373,9.73,84.99,71.0,5.13,94.0,75.7,58.0,Sea Freight,Maersk,27,8,35747.56,4.2,4.7,4.6,2.5,5.9,0.2,0,Yes,13,8.6,86.75,48.8,4581807.81,60,11.58,Low,0.5,510996.79,1,2024-12-19,40.01
SC00053,SUP039,Quantum Materials,Germany,North America,Phoenix,Industrial Equipment,Component,SKU2635,470051.98,27,5236,3147,1842,619,5.1,75.64,93.96,0.2,89.6,85.4,84.9,Air Freight,UPS,11,0,9333.31,1.6,6.6,7.1,9.6,3.2,2.2,2,No,7,7.2,95.84,52.8,4269927.65,60,8.1,Low,9.5,79148.62,0,2024-12-31,33.6
SC00054,SUP017,Velocity Suppliers,Taiwan,North America,Dallas,Raw Materials,Component,SKU3862,447939.54,50,5860,4089,1848,1276,4.32,76.13,85.47,6.3,81.7,95.3,52.5,Air Freight,XPO Logistics,5,3,4439.61,4.3,9.0,7.4,0.3,0.3,0.7,4,Yes,2,8.8,94.93,50.0,2920172.07,60,15.22,Critical,1.4,587354.63,1,2025-02-25,31.84
SC00055,SUP003,Prime Materials Co,Thailand,North America,Los Angeles,Automotive Parts,Assembly,SKU1646,300960.49,47,1340,4806,453,958,6.58,98.64,76.81,7.23,86.1,56.9,52.3,Sea Freight,FedEx,7,9,47049.65,5.4,3.9,1.4,2.0,7.5,5.7,1,Yes,7,10.4,78.46,9.1,2625714.37,30,21.91,Low,9.0,31337.46,1,2024-12-25,37.95
SC00056,SUP047,Nexus Logistics,Mexico,North America,Dallas,Chemicals,Semi-Finished,SKU5760,461327.75,51,160,2190,1853,273,9.81,96.21,93.1,2.14,71.0,52.7,51.4,Multimodal,DB Schenker,19,9,13402.99,0.2,9.6,9.7,2.4,2.1,7.6,0,No,12,12.6,86.43,47.6,4657092.68,90,22.09,High,0.8,106714.97,1,2024-02-27,25.0
SC00057,SUP030,Nexus Logistics,USA,Latin America,Chicago,Raw Materials,Assembly,SKU6901,48803.79,49,9230,916,909,1466,11.6,94.72,73.63,6.5,83.7,50.9,47.5,Multimodal,DHL,29,3,42740.65,4.4,4.2,8.2,4.1,8.3,1.1,3,Yes,10,16.0,72.5,20.9,4665517.53,90,2.71,High,8.2,549997.49,1,2025-11-08,41.56
SC00058,SUP035,Pacific Traders,South Korea,Asia-Pacific,Phoenix,Consumer Goods,Component,SKU6123,102011.52,22,1739,3986,762,1104,9.64,79.21,99.16,0.66,79.6,57.2,58.7,Rail,DHL,15,0,43242.83,7.8,6.0,2.0,2.3,4.2,8.4,3,Yes,12,9.0,97.46,3.0,4848184.12,90,10.71,Low,1.5,591407.41,1,2024-09-07,35.52
SC00059,SUP008,Euro Distributors,USA,Latin America,Boston,Industrial Equipment,Semi-Finished,SKU7979,27387.51,42,6285,2875,956,530,10.55,65.48,77.07,4.8,65.3,82.9,93.2,Sea Freight,DB Schenker,35,1,38739.87,6.8,7.1,1.9,4.9,5.8,5.6,0,Yes,7,16.3,82.13,30.5,670625.48,30,11.62,High,0.4,28986.93,1,2024-09-10,46.46
SC00060,SUP025,Pacific Traders,Taiwan,Europe,Dallas,Raw Materials,Raw Material,SKU2898,166038.51,39,8070,1440,1649,826,8.03,67.81,76.81,3.89,69.7,86.4,86.5,Multimodal,UPS,37,0,8857.26,6.4,9.5,1.3,8.7,8.7,6.9,1,No,2,10.7,81.81,31.8,844761.16,30,24.44,Low,7.2,573376.79,1,2024-08-28,46.96
SC00061,SUP006,Prime Materials Co,South Korea,North America,Denver,Automotive Parts,Component,SKU2556,197395.26,55,1352,4400,746,949,10.35,75.93,75.92,4.37,71.7,89.3,84.1,Air Freight,FedEx,12,5,41179.17,9.1,2.4,1.4,7.1,8.6,9.7,4,Yes,9,6.8,79.08,34.2,3399846.66,30,16.95,Medium,2.8,838502.53,1,2025-10-25,56.31
SC00062,SUP036,Tech Components Ltd,China,Latin America,Los Angeles,Chemicals,Raw Material,SKU1751,139317.77,19,4303,735,1525,1447,9.84,65.55,69.27,7.41,97.0,62.2,87.8,Sea Freight,UPS,30,2,38577.9,0.2,7.5,7.5,5.8,3.7,0.8,1,No,14,13.2,83.82,51.0,2730100.66,30,10.18,High,7.1,722316.18,1,2024-11-15,39.62
SC00063,SUP019,Quantum Materials,Germany,Europe,Phoenix,Automotive Parts,Finished Good,SKU1158,415225.07,29,8463,3568,1121,1089,5.77,65.6,68.89,6.97,69.2,65.3,56.2,Rail,XPO Logistics,20,6,30037.79,5.6,5.2,4.7,0.9,2.1,9.0,2,Yes,12,14.4,77.55,22.9,141406.23,30,0.65,Low,5.6,131185.1,1,2025-08-29,41.27
SC00064,SUP041,Nexus Logistics,Vietnam,Latin America,Dallas,Pharmaceuticals,Semi-Finished,SKU3267,181592.9,59,9750,3338,780,738,7.52,97.08,87.68,6.28,71.6,74.2,93.2,Multimodal,Maersk,37,4,17191.5,7.9,2.7,7.8,6.9,7.8,1.3,1,Yes,14,11.2,81.25,23.4,356776.43,90,14.13,High,1.1,592474.65,1,2024-03-27,57.24
SC00065,SUP040,Acme Corp,Germany,North America,Seattle,Textiles,Component,SKU3793,144062.58,41,3649,3015,1572,519,10.05,89.72,95.63,2.19,74.8,53.2,48.2,Multimodal,DB Schenker,3,8,13494.18,5.4,7.8,7.5,1.7,4.3,3.9,2,No,9,1.1,94.0,5.3,4445997.89,30,2.4,Medium,9.3,672252.5,1,2025-12-05,31.52
